"order_year";"order_month";"order_day_in_month";"CT1_SKU";"CT1_SKU_name";"Ordered";"Reserved";"service_level"
"2018";"4";"1";"1DAM3085-0125";"1 Day Acuvue Moist (30 db), BC: 8.5, PWR: -1.25";"3";"3.000000";"1.0000000000"
"2018";"4";"1";"AOA386-0300";"Air Optix Aqua (3 db), BC: 8.6, PWR: -3.00";"1";"1.000000";"1.0000000000"
"2018";"4";"1";"AOA386-0425";"Air Optix Aqua (3 db), BC: 8.6, PWR: -4.25";"2";"2.000000";"1.0000000000"
"2018";"4";"1";"AOA386-0450";"Air Optix Aqua (3 db), BC: 8.6, PWR: -4.50";"1";"1.000000";"1.0000000000"
"2018";"4";"1";"AOA686-0400";"Air Optix Aqua (6 db), BC: 8.6, PWR: -4.00";"2";"2.000000";"1.0000000000"
"2018";"4";"1";"AOFA387-0300-0075150";"Air Optix For Astigmatism (3 db), BC: 8.7, PWR: -3.00, CYL: -0.75, AX: 150°";"1";"1.000000";"1.0000000000"
"2018";"4";"1";"AOFA686+0400-0075090";"Acuvue Oasys For Astigmatism (6 db), BC: 8.6, PWR: +4.00, CYL: -0.75, AX: 90°";"2";"2.000000";"1.0000000000"
"2018";"4";"1";"AOFA686-0325-0225010";"Acuvue Oasys For Astigmatism (6 db), BC: 8.6, PWR: -3.25, CYL: -2.25, AX: 10°";"1";"1.000000";"1.0000000000"
"2018";"4";"1";"AOFA686-0350-0225170";"Acuvue Oasys For Astigmatism (6 db), BC: 8.6, PWR: -3.50, CYL: -2.25, AX: 170°";"1";"1.000000";"1.0000000000"
"2018";"4";"1";"AOPHG686-0900";"Air Optix Plus HydraGlyde (6 db), BC: 8.6, PWR: -9.00";"1";"1.000000";"1.0000000000"
"2018";"4";"1";"AOWHP684-0200";"Acuvue Oasys With Hydraclear Plus (6 db), BC: 8.4, PWR: -2.00";"1";"1.000000";"1.0000000000"
"2018";"4";"1";"AOWHP684-0225";"Acuvue Oasys With Hydraclear Plus (6 db), BC: 8.4, PWR: -2.25";"1";"1.000000";"1.0000000000"
