erp_invoice_id;reference_id;created;fulfillment_rate
VE18/000898;UK259207;2018.02.07 10:29;in stock
VE18/000922;UK259233;2018.02.08 15:28;partially fulfilled
VE18/000934;UK259248;2018.02.09 12:55;all out of stock
VE18/000940;UK259254;2018.02.09 17:34;all out of stock
VE18/000942;UK259256;2018.02.09 18:29;partially fulfilled
VE18/000945;UK259259;2018.02.09 22:49;all out of stock
VE18/000948;UK259262;2018.02.10 9:21;in stock
VE18/000951;UK259265;2018.02.10 11:10;all out of stock
VE18/000960;UK259275;2018.02.10 17:55;all out of stock
VE18/000961;UK259276;2018.02.10 18:25;in stock
VE18/000965;UK259280;2018.02.10 21:19;in stock
VE18/000975;UK259291;2018.02.11 12:11;partially fulfilled
VE18/000980;UK259297;2018.02.11 16:00;partially fulfilled
VI18/000590;IT52675-227236;2018.02.03 11:28;all out of stock
VI18/000623;IT52675-100430;2018.02.05 9:33;all out of stock
VI18/000694;IT52675-330080;2018.02.08 14:44;in stock
VI18/000699;IT52675-440435;2018.02.08 19:01;in stock
VI18/000704;IT52675-358551;2018.02.08 21:01;in stock
VI18/000721/1;IT52675-595696;2018.02.12 0:00;in stock
VI18/000734;IT52675-719819;2018.02.10 18:08;all out of stock
VI18/000740/1;IT52675-231586;2018.02.12 0:00;all out of stock
VI18/000744;IT52675-975427;2018.02.11 16:45;in stock
VI18/000747/1;IT52675-208526;2018.02.12 0:00;in stock
VI18/000748;IT52675-296581;2018.02.11 21:30;all out of stock
VI18/000750;IT52675-600141;2018.02.11 22:00;all out of stock
VO11/03112;;2011.11.21 0:00;in stock
VO11/03339;EO7057;2011.11.27 0:00;in stock
VO11/03552;;2011.11.30 0:00;in stock
VO11/03636;EO7301;2011.12.02 0:00;in stock
VO11/04634;8032;2011.12.20 0:00;in stock
VO12/00677;NC483;2012.01.13 0:00;all out of stock
VO12/02158;EO10459;2012.02.14 7:48;in stock
VO12/02159;EO10457;2012.02.14 7:43;in stock
VO12/09180;;2012.05.24 0:00;all out of stock
VO12/20817;EO28028;2012.09.07 6:14;in stock
VO13/12227;EO52343;2013.03.25 9:35;in stock
VO13/18770;EO58296;2013.05.06 19:15;in stock
VO13/22481;VO13/22481;2013.05.30 0:00;all out of stock
VO13/33180;EO70932;2013.08.04 14:38;all out of stock
VO13/49749;VO13/49749;2013.11.14 0:00;in stock
VO13/51125;EO91062;2013.11.23 17:19;partially fulfilled
VO14/00164;EO98678;2014.01.02 10:33;in stock
VO14/02896;EO102331;2014.01.15 14:42;partially fulfilled
VO14/06116;EO106785;2014.02.04 11:43;in stock
VO14/06869;EO108113;2014.02.09 19:32;in stock
VO14/15867;NP1037;2014.04.01 9:53;all out of stock
VO14/18699;EO122944;2014.04.16 7:07;all out of stock
VO14/19196;NC1469;2014.04.18 14:06;all out of stock
VO14/20889;EO125571;2014.04.29 18:28;in stock
VO14/28750/1;EO135420;2014.07.02 0:00;in stock
VO14/32375;EO140413;2014.06.28 19:11;all out of stock
VO14/33090;EO140139;2014.07.02 7:29;in stock
VO14/34061;EO142658;2014.07.07 9:09;in stock
VO17/095361/4;VO17/095361;2018.02.08 0:00;in stock
VO18/003542/1;EO431017;2018.02.08 0:00;in stock
VO18/006047/1;EO433246, SO-326782;2018.02.07 0:00;in stock
VO18/006735/1;EO433811;2018.02.05 0:00;in stock
VO18/007825/1;, SO-328649;2018.02.03 0:00;in stock
VO18/008508/1;LM21195-350900;2018.02.06 0:00;partially fulfilled
VO18/008764;EO435624;2018.02.02 19:04;in stock
VO18/008778;, SO-329625;2018.02.03 0:00;in stock
VO18/008779;EO435678;2018.02.03 10:15;in stock
VO18/008785;, SO-329632;2018.02.03 0:00;in stock
VO18/008786;VO18/008786;2018.02.03 0:00;all out of stock
VO18/008792/2;EO435590;2018.02.05 0:00;in stock
VO18/008794;EO435592;2018.02.02 15:44;all out of stock
VO18/008812;EO435620;2018.02.02 18:31;in stock
VO18/008836;EO435651;2018.02.02 22:23;partially fulfilled
VO18/008842;EO435658;2018.02.03 4:32;all out of stock
VO18/008891;EO435722;2018.02.03 15:42;partially fulfilled
VO18/008895;EO435726;2018.02.03 16:09;in stock
VO18/008898;EO435730;2018.02.03 16:52;partially fulfilled
VO18/008901;EO435738;2018.02.03 18:20;partially fulfilled
VO18/008941;EO435785;2018.02.04 1:05;all out of stock
VO18/008959;EO435810;2018.02.04 10:14;in stock
VO18/009025;EO435901;2018.02.04 16:30;in stock
VO18/009036;EO435912;2018.02.04 17:48;partially fulfilled
VO18/009053;EO435935;2018.02.04 19:25;in stock
VO18/009054;EO435936;2018.02.04 19:28;partially fulfilled
VO18/009076;EO435967;2018.02.04 21:06;partially fulfilled
VO18/009083;EO435974;2018.02.04 21:19;partially fulfilled
VO18/009098;EO435998;2018.02.04 23:03;partially fulfilled
VO18/009122;EO435681;2018.02.03 10:40;in stock
VO18/009123;EO435683;2018.02.03 10:51;in stock
VO18/009127;EO435697;2018.02.03 12:31;all out of stock
VO18/009147;EO435802;2018.02.04 9:51;partially fulfilled
VO18/009148;EO435808;2018.02.04 10:05;partially fulfilled
VO18/009153;EO435829;2018.02.04 11:12;in stock
VO18/009158;EO435847;2018.02.04 12:08;in stock
VO18/009159;EO435855;2018.02.04 12:40;in stock
VO18/009168;EO435881;2018.02.04 14:54;in stock
VO18/009181;EO435942;2018.02.04 19:44;in stock
VO18/009193;EO435988;2018.02.04 22:08;all out of stock
VO18/009205;EO436019;2018.02.05 8:02;in stock
VO18/009208/1;EO436028, SO-329929;2018.02.07 0:00;in stock
VO18/009221/1;EO434851;2018.02.07 0:00;all out of stock
VO18/009225;EO436067;2018.02.05 9:51;in stock
VO18/009253;EO436058;2018.02.05 9:40;partially fulfilled
VO18/009292;EO436103;2018.02.05 11:15;in stock
VO18/009299;VO18/009299;2018.02.05 0:00;in stock
VO18/009332/1;EO429844, SO-330054;2018.02.06 0:00;in stock
VO18/009345;EO436162;2018.02.05 13:32;in stock
VO18/009387;VO18/009387;2018.02.05 0:00;in stock
VO18/009403;EO436202;2018.02.05 15:35;partially fulfilled
VO18/009407/2;, SO-330130;2018.02.05 0:00;in stock
VO18/009409;EO436178;2018.02.05 14:28;in stock
